,source_language,split,target_language
10935,you 're supposed to help your friends when they 're in trouble .,train,vous êtes supposés aider vos amies lorsqu'elles ont des ennuis .
10936,you 're the most handsome man i 've ever seen .,train,vous êtes le plus bel homme qu'il m'ait été donné de voir .
10937,you 're adorable .,train,tu es adorable .
10938,you 're demented .,train,vous êtes fous .
10939,you 're very good .,train,vous êtes fort bonnes .
10940,you 're going to have to call tom .,train,tu vas devoir appeler tom .
10941,you 're not very funny .,train,tu n'es pas très amusante .
10942,you 're so sweet .,train,tu es si gentil !
10943,you 're old .,train,tu es vieux .
10944,you 're preaching to the choir .,train,vous prêchez des convaincues .
10945,you 're very understanding .,train,tu es très compréhensif .
10946,you 're embarrassing me .,train,vous me mettez mal à l'aise .
10947,you 're a prisoner .,train,vous êtes un prisonnier .
10948,you 're such a liar .,train,quel menteur tu fais !
10949,"you 're new around here , are n't you ?",train,"tu es nouveau dans le coin , n'est-ce pas ?"
10950,you 're too tense .,train,tu es trop tendue .
10951,you 're going to win today .,train,tu vas gagner aujourd'hui .
10952,you 're being watched .,train,on te regarde .
10953,you 're not going fast enough .,train,tu ne vas pas assez vite .
10954,you 're very attractive .,train,tu es très attirante .
10955,you 're powerless .,train,tu es dépourvue de pouvoir .
10956,you 're very understanding .,train,tu es fort compréhensive .
10957,you 're no doctor .,train,vous n'êtes pas médecin .
10958,"you 're not upset , are you ?",train,"vous n'êtes pas contrariés , si ?"
10959,"you 're depressed , are n't you ?",train,"tu es déprimé , n'est-ce pas ?"
10960,you 're such an idiot !,train,quel idiot tu es !
10961,you 're too suspicious about everything .,train,tu es trop suspicieux de tout .
10962,you 're very resourceful .,train,tu es pleine de ressources .
10963,you 're not supposed to eat on the job .,train,tu n'es pas supposé manger sur le lieu de travail .
10964,you 're not telling me anything i do n't know .,train,vous ne me dites rien que j'ignore .
10965,you 're missing the point .,train,vous ne saisissez pas .
10966,you 're driving too fast .,train,tu conduis trop vite .
10967,you 're very perceptive .,train,tu es très perspicace .
10968,you 're pretty good .,train,vous êtes plutôt bonne .
10969,you 're not allowed in here .,train,tu n'es pas autorisé à pénétrer ici .
10970,you 're the oldest .,train,vous êtes la plus vieille .
10971,you 're the one who trained me .,train,vous êtes celui qui m'a entraîné .
10972,you 're my only real friend .,train,vous êtes ma seule véritable amie .
10973,"you 're german , are n't you ?",train,vous êtes allemands n'est-ce pas ?
10974,you 're very forward .,train,vous êtes fort effrontées .
10975,you 're all crazy .,train,vous êtes toutes folles .
10976,you 're very nice .,train,vous êtes très chouette .
10977,you 're the one i 've been waiting for .,train,tu es celle que j'attendais .
10978,you 're the best man for the job .,train,tu es le meilleur pour ce travail .
10979,"you 're feeling very sleepy , are n't you ?",train,"vous avez très sommeil , non ?"
10980,you 're trustworthy .,train,vous êtes fiables .
10981,you 're the oldest .,train,vous êtes le plus vieux .
10982,you 're very brave .,train,vous êtes fort courageux .
10983,you 're perfectly right .,train,tu as parfaitement raison .
10984,you 're unforgettable .,train,vous êtes inoubliables .
10985,you 're the most beautiful woman in the world .,train,tu es la femme la plus belle au monde .
10986,you 're stuck .,train,t'es plantée .
10987,you 're not very funny .,train,vous n'êtes pas très amusantes .
10988,"you 're lying , are n't you ?",train,"vous mentez , n'est-ce pas ?"
10989,you 're the only one who can do it .,train,nul autre que toi ne peut le faire .
10990,you 're really incredible .,train,tu es vraiment incroyable .
10991,you 're pretty .,train,tu es jolie .
10992,you 're no saint .,train,vous n'êtes pas un saint .
10993,you 're funny .,train,t'es marrant .
10994,you 're very funny .,train,tu es très marrant .
10995,you 're very open .,train,tu es très ouverte .
10996,you 're early .,train,tu es matinale .
10997,you 're free to leave now .,train,tu est libre de partir maintenant .
10998,you 're the scapegoat .,train,tu es le bouc émissaire .
10999,"you 're not tired , are you ?",train,"vous n'êtes pas fatiguées , si ?"
11000,you 're the teacher .,train,c'est toi le professeur .
11001,you 're still young .,train,tu es encore jeune .
11002,you 're out of order .,train,tu es hors-service .
11003,you 're the teacher .,train,tu es l'enseignant .
11004,you 're never going to believe what happened today .,train,tu ne vas jamais croire ce qui est arrivé aujourd'hui .
11005,you 're so predictable .,train,tu es tellement prévisible !
11006,you 're very rude .,train,tu es très grossier .
11007,you 're cool .,train,t'es sympa .
11008,you 're cantankerous .,train,vous êtes acariâtre .
11009,you 're going to die .,train,tu vas mourir .
11010,"you 're feeling very sleepy , are n't you ?",train,"tu as très sommeil , non ?"
11011,you 're ruthless .,train,tu es sans pitié .
11012,you 're too hard on yourself .,train,vous êtes trop dure avec vous .
11013,you 're out of control .,train,tu es hors de contrôle .
11014,you 're a liar .,train,tu es une menteuse .
11015,you 're taller than me .,train,tu es plus grand que moi .
11016,you 're all racists .,train,vous êtes tous des racistes .
11017,you 're doing the right thing .,train,tu fais la bonne chose .
11018,you 're so cute together .,train,vous êtes si mignons ensemble .
11019,you 're fashionable .,train,vous êtes branchés .
11020,you 're so mean .,train,vous êtes si méchante .
11021,"you 're not suggesting tom could have done it , are you ?",train,"tu n'es pas en train de suggérer que tom aurait pu le faire , non ?"
11022,you 're really gorgeous .,train,tu es vraiment magnifique .
11023,you 're kidding !,train,vous plaisantez !
11024,you 're ambitious .,train,vous êtes ambitieux .
11025,you 're very forward .,train,vous êtes fort effrontés .
11026,you 're not good at this .,train,ça ne te réussit pas .
11027,you 're the one who trained me .,train,vous êtes celui qui m'a formé .
11028,you 're driving me nuts .,train,tu me rends dingue .
11029,you 're productive .,train,vous êtes productives .
11030,you 're not bad .,train,tu n'es pas mal .
11031,"you 're afraid that i 'm right , are n't you ?",train,"vous avez peur que j'aie raison , n'est-ce pas ?"
11032,you 're forgetful .,train,tu es distraite .
11033,you 're too trusting .,train,vous êtes trop confiantes .
11034,you 're very busy .,train,tu es très occupée .
11035,you 're very curious .,train,tu es fort curieux .
11036,you 're such a flirt .,train,tu es un de ces dragueurs !
11037,you 're not allowed to eat those .,train,tu n'es pas autorisée à manger ceux-là .
11038,you 're a liar .,train,tu es un menteur .
11039,you 're bright .,train,vous êtes brillant .
11040,you 're not cooperating .,train,vous ne coopérez pas .
11041,you 're a little liar .,train,tu es un petit menteur .
11042,you 're very sophisticated .,train,tu es fort élégant .
11043,you 're silly .,train,vous êtes idiots .
11044,you 're mistaken . that 's not what i said .,train,tu te trompes . ce n'est pas ce que j'ai dit .
11045,you 're through .,train,vous en avez fini .
11046,you 're tough .,train,vous êtes durs .
11047,you 're going to regret this .,train,vous allez le regretter .
11048,you 're very tall .,train,vous êtes très grandes .
11049,you 're awesome .,train,tu es géniale .
11050,you 're naive .,train,tu es naïf .
11051,"you 're one of them , are n't you ?",train,"tu es l'une d'elles , n'est-ce pas ?"
11052,you 're the leader .,train,tu es la chef .
11053,you 're really selfish .,train,tu es vraiment égoïste .
11054,"you 're not that old , tom .",train,"vous n'êtes pas si vieux , tom ."
11055,you 're a wonderful woman .,train,tu es une femme formidable !
11056,you 're very busy .,train,vous êtes très occupés .
11057,you 're courteous .,train,vous êtes courtoise .
11058,you 're free of all responsibility .,train,vous êtes libérées de toute responsabilité .
11059,you 're sneaky .,train,vous êtes sournoise .
11060,you 're unbelievably stupid .,train,vous êtes incroyablement stupide .
11061,you 're tough .,train,vous êtes dures .
11062,you 're very astute .,train,tu es très astucieux .
11063,you 're a funny guy .,train,t'es un gars marrant .
11064,you 're very open .,train,vous êtes très ouverts .
11065,you 're so sweet .,train,vous êtes tellement gentil !
11066,you 're all racists .,train,vous êtes toutes des racistes .
11067,you 're back late . what have you been up to ?,train,tu es en retard . qu'as-tu fait ?
11068,you 're fortunate .,train,tu es chanceux .
11069,you 're probably tired .,train,vous êtes probablement fatigués .
11070,you 're free .,train,vous êtes libres .
11071,"you 're disappointed , are n't you ?",train,"vous êtes déçue , n'est-ce pas ?"
11072,you 're all alone .,train,tu es toute seule .
11073,you 're losing .,train,vous êtes en train de perdre .
11074,you 're required to help them .,train,on attend de vous que vous les aidiez .
11075,you 're too clever for your own good .,train,vous êtes trop intelligent pour votre sécurité .
11076,you 're not allowed to eat those .,train,vous n'êtes pas autorisées à manger ceux-ci .
11077,you 're blushing .,train,tu rougis !
11078,you 're all done .,train,vous êtes tous finis .
11079,you 're running a big risk in trusting him .,train,tu prends un risque important en lui faisant confiance .
11080,you 're the laziest person i know .,train,vous êtes la personne la plus paresseuse que je connaisse .
11081,you 're a very lucky man .,train,vous avez vraiment de la chance .
11082,you 're such an idiot !,train,quelle idiote vous êtes !
11083,you 're probably tired after such a long flight .,train,tu es probablement fatiguée après un vol aussi long .
11084,you 're winning .,train,vous l'emportez .
11085,you 're the sweetest .,train,vous êtes la plus mignonne .
11086,you 're creative .,train,vous êtes créatifs .
11087,you 're fortunate .,train,vous êtes chanceux .
11088,you 're not fit .,train,vous n'êtes pas en forme .
11089,you 're early .,train,vous êtes en avance .
11090,you 're not listening !,train,tu n'écoutes pas !
11091,you 're too young to remember the nineties .,train,tu es trop jeune pour te rappeler les années quatre-vingt-dix .
11092,you 're still growing .,train,tu es encore en train de grandir .
11093,you 're very brave .,train,vous êtes très brave .
11094,you 're a good journalist .,train,vous êtes un bon journaliste .
11095,you 're too tense .,train,vous êtes trop tendues .
11096,you 're overworked .,train,vous êtes surmenées .
11097,you 're probably too young to understand what is likely to happen next .,train,tu es probablement trop jeune pour comprendre ce qui va sans doute se produire ensuite .
11098,you 're not allowed to eat those .,train,vous n'êtes pas autorisés à manger ceux-ci .
11099,you 're articulate .,train,vous vous exprimez bien .
11100,you 're being very unfair to me .,train,tu deviens très injuste envers moi .
11101,you 're psyched .,train,t'es remonté .
11102,you 're all hypocritical .,train,vous êtes tous hypocrites .
11103,you 're really selfish .,train,vous êtes vraiment égoïstes .
11104,you 're the greatest .,train,tu es le meilleur .
11105,you 're the one who trained me .,train,vous êtes celle qui m'a entraînée .
11106,you 're my princess .,train,vous êtes ma princesse .
11107,you 're a nervous wreck .,train,vous êtes nerveusement usée .
11108,you 're so bossy .,train,tu es tellement autoritaire !
11109,you 're faithful .,train,vous êtes fidèles .
11110,you 're taller than me .,train,vous êtes plus grand que moi .
11111,you 're very rude .,train,vous êtes fort grossier .
11112,you 're full of surprises .,train,vous êtes plein de surprises .
11113,you 're invited .,train,tu es invitée .
11114,you 're making a big mistake .,train,tu commets une grosse erreur .
11115,you 're not allowed to park here .,train,vous n'êtes pas autorisé à vous garer ici .
11116,you 're ambitious .,train,tu es ambitieux .
11117,you 're not safe here .,train,"vous n'êtes pas en sécurité , ici ."
11118,you 're resilient .,train,vous êtes tenaces .
11119,you 're no fun .,train,vous n'êtes pas drôle .
11120,you 're adorable .,train,vous êtes adorables .
11121,"you 're worried , are n't you ?",train,"vous êtes inquiète , n'est-ce pas ?"
11122,you 're very skeptical .,train,vous êtes très sceptiques .
11123,you 're very rude .,train,tu es fort grossière .
11124,you 're the master .,train,c'est toi la maîtresse .
11125,you 're off the hook .,train,tu es tiré d'affaire .
11126,you 're no help .,train,tu n'es d'aucune aide .
11127,you 're the only one for me now .,train,vous êtes le seul désormais pour moi .
11128,you 're disobeying orders .,train,vous désobéissez aux ordres .
11129,you 're all happy .,train,vous êtes toutes heureuses .
11130,you 're crafty .,train,vous êtes rusées .
11131,you 're stalling .,train,vous temporisez .
11132,you 're not dead .,train,tu n'es pas mort .
11133,you 're very efficient .,train,vous êtes fort efficace .
11134,you 're the only person i know besides me who really understands this problem .,train,vous êtes la seule personne que je connaisse à part moi qui comprenne réellement ce problème .
11135,you 're imagining things .,train,tu imagines des choses .
11136,you 're the leader .,train,c'est toi la chef .
11137,you 're very clever .,train,vous êtes très ingénieux .
11138,you 're not supposed to be in here .,train,vous n'êtes pas censé être là-dedans .
11139,you 're much prettier than i remember .,train,tu es bien plus jolie que dans mon souvenir .
11140,you 're opportunistic .,train,tu es une opportuniste .
11141,"you 're not one of them , are you ?",train,"vous n'êtes pas des leurs , si ?"
11142,you 're out of booze .,train,t'es à sec .
11143,you 're fearless .,train,vous êtes intrépides .
11144,you 're a nervous wreck .,train,vous êtes nerveusement usé .
11145,you 're spoiling the mood .,train,vous gâchez l'atmosphère .
11146,you 're smarter than me .,train,vous êtes plus intelligentes que moi .
11147,you 're conscientious .,train,vous êtes consciencieuse .
11148,you 're arrogant .,train,vous êtes arrogant .
11149,you 're very astute .,train,vous êtes fort astucieuses .
11150,you 're the most important person in my life .,train,tu es la personne la plus importante dans ma vie .
11151,you 're the one who trained me .,train,tu es celui qui m'a entraîné .
11152,you 're a wonderful guy .,train,tu es une personne merveilleuse .
11153,you 're so beautiful in that dress .,train,tu es tellement belle dans cette robe !
11154,you 're very busy .,train,tu es fort occupée .
11155,you 're such a cute boy .,train,tu es un garçon tellement mignon !
11156,you 're all alone .,train,vous êtes tout seul .
11157,you 're the oldest .,train,tu es le doyen .
11158,you 're too old for me .,train,vous êtes trop vieux pour moi .
11159,you 're greedy .,train,vous êtes avides .
11160,you 're clever .,train,vous êtes malins .
11161,you 're safe .,train,tu es en sécurité .
11162,you 're being paranoid .,train,vous êtes paranoïaques .
11163,you 're unfair .,train,tu es injuste .
11164,you 're such a liar .,train,quel menteur vous faites !
11165,you 're going to have to do better to convince me of that .,train,il vous faudra vous démener davantage pour m'en convaincre .
11166,you 're taller than me .,train,vous êtes plus grands que moi .
11167,you 're not allowed in here .,train,vous n'êtes pas autorisé à pénétrer ici .
11168,you 're very good .,train,vous êtes très bon .
11169,you 're very open .,train,vous êtes très ouverte .
11170,you 're sick !,train,tu es malade !
11171,you 're very timid .,train,tu es fort craintif .
11172,you 're never at home .,train,tu n'es jamais chez toi .
11173,you 're faithful .,train,vous êtes fidèle .
11174,you 're not helping much .,train,tu n'aides pas beaucoup .
11175,you 're not a millionaire .,train,vous n'êtes pas millionnaire .
11176,you 're not the only one that was hurt .,train,tu n'es pas la seule à avoir été blessée .
11177,you 're very sophisticated .,train,vous êtes fort raffinés .
11178,you 're forgetful .,train,tu es oublieuse .
11179,you 're the most beautiful woman i 've ever held in my arms .,train,vous êtes la plus belle femme que j'ai jamais tenue dans mes bras .
11180,you 're the one who planted that tree .,train,vous êtes celle qui a planté cet arbre .
11181,you 're the tallest person here .,train,tu es la personne la plus grande ici .
11182,you 're not the only one with this problem .,train,vous n'êtes pas les seuls avec ce problème .
11183,you 're a wonderful friend .,train,vous êtes un merveilleux ami .
11184,you 're not allowed to park here .,train,vous n'êtes pas autorisée à vous garer ici .
11185,"you 're not suggesting tom could have done it , are you ?",train,"tu ne suggères pas que tom aurait pu le faire , non ?"
11186,you 're so impatient .,train,vous êtes tellement impatients .
11187,you 're conscientious .,train,tu es consciencieuse .
11188,you 're the leader .,train,c'est vous la chef .
11189,you 're working hard .,train,tu travailles dur .
11190,you 're reliable .,train,tu es fiable .
11191,you 're free to go .,train,t'es libre de t'en aller .
11192,you 're over-analyzing .,train,vous analysez trop .
11193,you 're forgiven .,train,tu es pardonnée .
11194,you 're wasting both of our time .,train,tu gaspilles notre temps à tous les deux .
11195,you 're courteous .,train,vous êtes courtoises .
11196,you 're the only person i can trust .,train,tu es la seule personne en qui j'ai confiance .
11197,you 're incorrigible .,train,tu es incorrigible .
11198,you 're making a big mistake .,train,vous commettez une grosse erreur .
11199,"you 're done working , are n't you ?",train,"tu as fini de travailler , non ?"
11200,you 're very generous .,train,tu es fort généreux .
11201,you 're very stylish .,train,tu es très élégante .
11202,you 're so mean .,train,tu es si méchant .
11203,you 're not too late .,train,vous n'êtes pas trop en retard .
11204,you 're not as smart as me .,train,tu n'es pas aussi malin que moi .
11205,you 're a terrible person .,train,vous êtes une personne exécrable .
11206,you 're not wearing any pants .,train,tu ne portes aucun pantalon .
11207,you 're the only person i know that likes getting up early in the morning .,train,vous êtes la seule personne que je connaisse qui aime se lever tôt le matin .
11208,you 're not going fast enough .,train,vous n'allez pas assez vite .
11209,you 're more beautiful now than the day i first met you .,train,"tu es plus belle , maintenant , que le jour où je t'ai rencontrée pour la première fois ."
11210,you 're on the right track .,train,tu es sur la bonne pente .
11211,you 're skinny .,train,tu es maigrichonne .
11212,you 're no doctor .,train,tu n'es pas médecin .
11213,you 're winning .,train,tu l'emportes .
11214,you 're very lonely .,train,vous êtes fort solitaires .
11215,you 're free of all responsibility .,train,tu es libéré de toute responsabilité .
11216,you 're out of booze .,train,vous êtes à sec .
11217,you 're the most beautiful woman i 've ever seen .,train,vous êtes la plus belle femme qu'il m'ait été donné de voir .
11218,you 're not as smart as me .,train,t'es pas aussi malin que moi .
11219,you 're very understanding .,train,vous êtes très compréhensifs .
11220,you 're the one i 've been waiting for .,train,tu es celui que j'attendais .
11221,you 're preaching to the choir .,train,tu prêches une convaincue .
11222,you 're very wise .,train,vous êtes très avisée .
11223,you 're very rude .,train,vous êtes très grossiers .
11224,you 're half right .,train,tu as à moitié raison .
11225,you 're so sweet .,train,vous êtes tellement gentilles !
11226,you 're so pathetic .,train,vous êtes si pathétique .
11227,you 're very angry .,train,tu es fort en colère .
11228,you 're in luck .,train,vous êtes veinard .
11229,you 're very stylish .,train,vous êtes très élégantes .
11230,you 're kind of cute when you 're mad .,train,tu es assez mignon quand tu es en colère .
11231,you 're doing an excellent job .,train,tu fais un boulot excellent .
11232,you 're not my girlfriend .,train,tu n'es pas ma copine .
11233,you 're too stupid to live .,train,tu es trop stupide pour vivre .
11234,you 're very brave .,train,vous êtes très braves .
11235,you 're not a teenager yet .,train,tu n'es pas encore adolescent .
11236,you 're wrong again .,train,vous avez à nouveau tort .
11237,you 're a bad liar .,train,tu mens mal .
11238,you 're no friend of mine .,train,vous n'êtes pas de mes amis .
11239,you 're talented .,train,vous êtes talentueux .
11240,you 're always criticizing me !,train,tu me critiques tout le temps !
11241,you 're preaching to the choir .,train,tu prêches des convaincus .
11242,you 're missing the point .,train,vous passez à côté .
11243,you 're funny .,train,vous êtes marrant .
11244,you 're smashed .,train,t'es bourré .
11245,you 're unambitious .,train,vous êtes dépourvu d'ambition .
11246,you 're very wise .,train,tu es fort avisée .
11247,you 're the pro .,train,c'est vous le professionnel .
11248,you 're a jolly good feller .,train,t'es un joyeux drille .
11249,you 're restless .,train,tu es agitée .
11250,you 're not responsible for what happened .,train,vous n'êtes pas responsable de ce qui s'est passé .
11251,you 're not safe there .,train,tu n'y es pas en sécurité .
11252,you 're not helping .,train,tu n'aides pas .
11253,"you 're not ready yet , are you ?",train,"tu n'es pas encore prête , n'est-ce pas ?"
11254,you 're assertive .,train,tu te fais comprendre .
11255,"you 're scared of being hurt , are n't you ?",train,"tu as peur d'avoir mal , n'est-ce pas ?"
11256,you 're not that interesting .,train,tu n'es pas si intéressante .
11257,you 're all alone .,train,tu es tout seul .
11258,you 're under investigation .,train,tu fais l'objet d'une enquête .
11259,you 're resourceful .,train,tu es plein de ressources .
11260,you 're very understanding .,train,tu es fort compréhensif .
11261,you 're very upset .,train,vous êtes fort contrariées .
11262,you 're very sophisticated .,train,vous êtes fort élégante .
11263,you 're a bad liar .,train,vous mentez mal .
11264,you 're lucky that you have a job .,train,vous êtes chanceux d'avoir un travail .
11265,you 're not allowed to eat those .,train,vous n'êtes pas autorisé à manger ceux-là .
11266,you 're not fired .,train,vous n'êtes pas viré .
11267,you 're are n't one of us .,train,vous n'êtes pas l'un des nôtres .
11268,you 're all i 've got .,train,tu es tout ce que j'ai .
11269,you 're very timid .,train,vous êtes très peureuse .
11270,you 're still alive .,train,vous êtes toujours vivante .
11271,you 're very sophisticated .,train,vous êtes fort raffiné .
11272,you 're amusing .,train,tu me fais marrer .
11273,"you 're right , i think .",train,je pense que vous avez raison .
11274,you 're the most beautiful girl in the world .,train,tu es la plus belle fille du monde .
11275,you 're very understanding .,train,vous êtes très compréhensif .
11276,you 're all happy .,train,vous êtes toutes contentes .
11277,you 're very intelligent .,train,vous êtes très intelligents .
11278,you 're crafty .,train,tu es astucieuse .
11279,you 're confused .,train,tu es confus .
11280,you 're too suspicious about everything .,train,vous êtes trop suspicieux de tout .
11281,you 're an idiot .,train,tu es un idiot .
11282,"you 're germans , are n't you ?",train,"vous êtes allemands , n'est-ce pas ?"
11283,you 're lucky you did n't die .,train,vous avez de la chance de ne pas être mort .
11284,you 're all insane .,train,vous êtes toutes malades .
11285,you 're one savvy negotiator .,train,vous êtes un négociateur avisé .
11286,you 're restless .,train,tu es agité .
11287,you 're the oldest .,train,vous êtes le doyen .
11288,you 're ambitious .,train,vous êtes ambitieuses .
11289,"you 're worried , are n't you ?",train,"tu es inquiète , pas vrai ?"
11290,you 're a nervous wreck .,train,tu es nerveusement usé .
11291,you 're here early .,train,tu viens tôt .
11292,you 're not the first .,train,vous n'êtes pas le premier .
11293,you 're fascinating .,train,vous êtes fascinants .
11294,you 're the girl of my dreams .,train,tu es la fille de mes rêves .
11295,you 're losing .,train,tu es en train de perdre .
11296,"you 're very kind , tom .",train,"vous êtes très gentil , tom ."
11297,you 're getting closer .,train,vous vous approchez .
11298,you 're always complaining about something .,train,tu râles toujours après quelque chose .
11299,you 're a grown woman now .,train,tu es une adulte maintenant .
11300,you 're much taller than tom is .,train,tu es bien plus grand que tom .
11301,you 're elusive .,train,vous êtes insaisissable .
11302,you 're forgetful .,train,tu es étourdie .
11303,you 're not the only one who does n't believe tom .,train,vous n'êtes pas le seul à ne pas croire tom .
11304,you 're too slow .,train,vous êtes trop lentes .
11305,you 're very funny .,train,vous êtes fort drôles .
11306,you 're the most important person in my life .,train,vous êtes la personne qui compte le plus dans mon existence .
11307,you 're quite attractive .,train,vous êtes tout à fait attirante .
11308,you 're with friends .,train,vous êtes avec des amies .
11309,you 're not thinking straight .,train,tu penses de travers .
11310,you 're too naive .,train,tu es trop naïve .
11311,you 're very talented .,train,tu es plein de talent .
11312,you 're really awesome .,train,vous êtes vraiment géniaux .
11313,you 're not good at this .,train,ça ne vous réussit pas .
11314,you 're too stupid to live .,train,vous êtes trop stupide pour vivre .
11315,you 're scaring the kids .,train,tu effraies les enfants .
11316,you 're starting to sound like your old man .,train,tu commences à parler comme ton vieux .
11317,you 're pretty .,train,vous êtes jolie .
11318,you 're productive .,train,vous êtes productive .
11319,"you 're not staying here , are you ?",train,"tu ne restes pas ici , si ?"
11320,you 're foolish .,train,vous êtes imprudentes .
11321,you 're powerful .,train,vous êtes puissantes .
11322,you 're blocking my light .,train,vous me faites de l'ombre .
11323,you 're not fit .,train,tu n'es pas en forme .
11324,you 're very wise .,train,tu es très avisée .
11325,you 're too slow .,train,tu es trop lent .
11326,you 're either with me or you 're against me .,train,"soit vous êtes avec moi , soit vous êtes contre moi ."
11327,you 're elusive .,train,tu es insaisissable .
11328,you 're not supposed to eat on the job .,train,vous n'êtes pas supposées manger sur le lieu de travail .
11329,you 're always saying that .,train,tu dis toujours cela .
11330,you 're not my type .,train,tu n'es pas mon genre .
11331,you 're very smart .,train,tu es très intelligente .
11332,you 're too skinny .,train,tu es trop maigre .
11333,"you 're enjoying yourself , are n't you ?",train,"tu t'amuses , pas vrai ?"
11334,you 're the oldest .,train,c'est vous l'aînée .
11335,you 're the one who trained me .,train,vous êtes celle qui m'a entraîné .
11336,you 're with friends .,train,tu es avec des amis .
11337,you 're the most beautiful girl i 've ever seen .,train,tu es la plus belle fille que j'aie jamais vue .
11338,you 're very understanding .,train,vous êtes fort compréhensive .
11339,you 're all right .,train,vous allez bien .
11340,you 're grounded .,train,tu es terre-à-terre .
11341,you 're incredible .,train,tu es incroyable .
11342,you 're arrogant .,train,vous êtes arrogante .
11343,you 're very emotional .,train,vous êtes très émotifs .
11344,"you 're not helping , tom .",train,"tu n'aides pas , tom ."
11345,you 're sleepy .,train,vous êtes endormi .
11346,you 're too trusting .,train,vous êtes trop confiants .
11347,you 're not as good as you think you are .,train,tu n'es pas aussi bonne que tu penses l'être .
11348,you 're very attractive .,train,tu es fort attirant .
11349,you 're a very lucky man .,train,tu as vraiment de la chance .
11350,you 're the best thing that 's ever happened to me .,train,vous êtes la meilleure chose qui me soit jamais arrivée .
11351,you 're on to something .,train,tu es au courant de quelque chose .
11352,you 're very talented .,train,tu es très talentueuse .
11353,you 're a liar .,train,vous êtes un menteur .
11354,you 're early .,train,tu viens tôt .
11355,you 're going to have to deal with that .,train,vous devrez être confrontés à ça .
11356,you 're forgiven .,train,vous êtes pardonnées .
11357,you 're welcome .,train,avec plaisir .
11358,you 're fun .,train,t'es marrante .
11359,you 're very lonely .,train,vous êtes très solitaire .
11360,you 're very sharp .,train,vous êtes très vive .
11361,"you 're not going to do it , are you ?",train,"vous n'allez pas le faire , n'est-ce pas ?"
11362,you 're the teacher .,train,vous êtes l'institutrice .
11363,you 're a filthy liar !,train,vous êtes une sale menteuse !
11364,you 're not fired .,train,vous n'êtes pas virés .
11365,you 're the only one who understands me .,train,tu es la seule à me comprendre .
11366,you 're very timid .,train,vous êtes fort timide .
11367,you 're lost .,train,tu es perdu .
11368,you 're very helpful .,train,vous êtes très serviables .
11369,you 're preaching to the choir .,train,tu prêches un convaincu .
11370,you 're charming .,train,vous êtes charmant .
11371,you 're very open .,train,vous êtes très ouvertes .
11372,you 're too polite .,train,vous êtes trop polie .
11373,you 're naive .,train,vous êtes naïf .
11374,you 're worse than tom .,train,tu es pire que tom .
11375,you 're conscientious .,train,tu es consciencieux .
11376,you 're very astute .,train,vous êtes fort astucieux .
11377,you 're a wonderful friend .,train,vous êtes une merveilleuse amie .
11378,you 're in luck .,train,vous êtes veinardes .
11379,you 're not the only one who does n't believe tom .,train,tu n'es pas la seule à ne pas croire tom .
11380,you 're the one i 've been wanting to meet .,train,vous êtes celui que je voulais rencontrer .
11381,you 're going too fast .,train,tu vas trop vite .
11382,you 're the teacher .,train,c'est toi l'enseignant .
11383,you 're my best friend .,train,tu es mon meilleur ami .
11384,you 're in luck .,train,tu es veinarde .
11385,you 're just tired .,train,tu es juste fatigué .
11386,you 're fearless .,train,tu es intrépide .
11387,you 're not a teenager yet .,train,vous n'êtes pas encore adolescente .
11388,"you 're tom 's friend , are n't you ?",train,"tu es l'ami de tom , pas vrai ?"
11389,you 're the one who trained me .,train,c'est toi qui m'as formée .
11390,you 're the only person i know who does n't take some kind of medicine at least once a week .,train,tu es la seule personne que je connaisse qui ne prend pas un médicament ou un autre au moins une fois par semaine .
11391,you 're conceited .,train,vous êtes suffisantes .
11392,you 're the same age as my son .,train,vous avez le même âge que mon fils .
11393,you 're the leader .,train,c'est toi le chef .
11394,you 're going to be very proud of me .,train,tu vas être très fier de moi .
11395,you 're very emotional .,train,vous êtes fort émotif .
11396,you 're a nervous wreck .,train,tu es nerveusement usée .
11397,you 're in a strange mood today .,train,"tu es d'une humeur étrange , aujourd'hui ."
11398,you 're the same age as my son .,train,tu as le même âge que mon fils .
11399,you 're not missing much .,train,tu ne rates pas grand chose .
11400,you 're not the only one that was hurt .,train,tu n'es pas le seul à avoir été blessé .
11401,you 're not fat .,train,vous n'êtes pas gros .
11402,you 're just like your father .,train,tu es exactement comme ton père .
11403,you 're the one who trained me .,train,tu es celui qui m'a formée .
11404,you 're taller than i am .,train,tu es plus grande que moi .
11405,you 're going to have to stop doing that .,train,vous allez devoir arrêter de faire cela .
11406,you 're the oldest .,train,vous êtes l'aînée .
11407,"you 're in danger , tom .",train,"vous êtes en danger , tom ."
11408,you 're old enough to know better .,train,tu devrais le savoir à ton âge .
11409,you 're stuck .,train,vous êtes planté .
11410,you 're creative .,train,vous êtes créative .
11411,you 're kind of cute when you 're mad .,train,tu es assez mignonne quand tu es en colère .
11412,you 're very sophisticated .,train,vous êtes très élégante .
11413,you 're the teacher .,train,tu es la professeur .
11414,you 're a nerd .,train,tu es un binoclard .
11415,you 're very emotional .,train,vous êtes fort émotifs .
11416,you 're very funny .,train,vous êtes très marrante .
11417,you 're bossy .,train,tu joues au chef .
11418,you 're invited .,train,vous êtes invités .
